Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex , TPS ($ 000) ,"Proportion 
of TPS (%)","Rate of 
use (%)", Number of active beneficiaries ,Rank
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-alpha) inhibitors,Total,Total,"1,212,664.57",8.1,0.5,"64,142",1
1,Canada,S01LA,Antineovascularization agents,Total,Total,"750,852.34",5.0,0.6,"80,768",2
1,Canada,L04AA,Selective immunosuppressants,Total,Total,"487,601.16",3.3,0.5,"60,548",3
1,Canada,B01AF,Direct factor Xa inhibitors,Total,Total,"461,010.32",3.1,4.5,"569,670",4
1,Canada,L04AX,Other immunosuppressants,Total,Total,"443,956.33",3.0,0.3,"41,560",5
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,Total,"359,640.13",2.4,0.1,"7,560",6
1,Canada,N05AX,Other antipsychotics,Total,Total,"342,152.16",2.3,2.3,"295,121",7
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,Total,"306,088.62",2.0,29.4,"3,725,483",8
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,Total,"305,519.39",2.0,4.5,"565,374",9
1,Canada,L04AC,Interleukin inhibitors,Total,Total,"263,793.53",1.8,0.1,"17,530",10
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,Total,"263,421.05",1.8,2.7,"346,376",11
1,Canada,A02BC,Proton pump inhibitors,Total,Total,"253,784.71",1.7,21.2,"2,687,375",12
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,Total,"252,939.24",1.7,2.2,"283,060",13
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,Total,"240,690.35",1.6,2.5,"312,567",14
1,Canada,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Total,Total,"238,601.93",1.6,2.2,"283,065",15
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,Total,"229,202.72",1.5,0.2,"25,739",16
1,Canada,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,Total,Total,"199,448.30",1.3,0.0,"2,803",17
1,Canada,N03AX,Other antiepileptics,Total,Total,"196,625.42",1.3,7.5,"946,313",18
1,Canada,N06AX,Other antidepressants,Total,Total,"190,657.80",1.3,10.6,"1,342,464",19
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,Total,"174,922.44",1.2,4.4,"555,113",20
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,Total,"164,620.08",1.1,11.5,"1,463,922",21
1,Canada,N02AA,Natural opium alkaloids,Total,Total,"163,600.75",1.1,5.9,"746,965",22
1,Canada,N07BC,Drugs used in opioid dependence,Total,Total,"163,436.78",1.1,0.7,"94,718",23
1,Canada,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Total,Total,"159,958.47",1.1,0.8,"100,172",24
1,Canada,C08CA,Dihydropyridine derivatives,Total,Total,"157,194.74",1.0,13.5,"1,710,278",25
1,Canada,R03BB,Anticholinergics,Total,Total,"147,328.25",1.0,3.5,"444,920",26
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,Total,"135,812.51",0.9,1.5,"194,080",27
1,Canada,C09AA,"ACE inhibitors, plain",Total,Total,"135,485.89",0.9,13.9,"1,769,167",28
1,Canada,N06BA,Centrally acting sympathomimetics,Total,Total,"134,684.41",0.9,2.1,"266,819",29
1,Canada,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Total,Total,"126,628.22",0.8,9.2,"1,171,570",30
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,Total,"126,028.10",0.8,0.1,"7,677",31
1,Canada,L01EF,Cyclin-dependent kinase (CDK) inhibitors,Total,Total,"125,589.64",0.8,0.0,"2,951",32
1,Canada,C07AB,"Beta-blocking agents, selective",Total,Total,"111,106.20",0.7,12.4,"1,570,781",33
1,Canada,L03AA,Colony-stimulating factors,Total,Total,"107,333.94",0.7,0.2,"19,924",34
1,Canada,L02AE,Gonadotropin-releasing hormone analogues,Total,Total,"104,827.31",0.7,0.3,"33,793",35
1,Canada,R03BA,Glucocorticoids,Total,Total,"99,267.40",0.7,5.0,"636,167",36
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,Total,"97,236.00",0.6,1.7,"219,864",37
1,Canada,H03AA,Thyroid hormones,Total,Total,"94,960.10",0.6,12.1,"1,529,993",38
1,Canada,L01EX,Other protein kinase inhibitors,Total,Total,"90,271.06",0.6,0.0,"3,779",39
1,Canada,B03XA,Other antianemic preparations,Total,Total,"85,851.11",0.6,0.1,"16,465",40
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,Total,"82,947.33",0.6,2.1,"272,630",41
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,Total,"81,562.38",0.5,2.9,"368,123",42
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,Total,"81,138.38",0.5,1.1,"141,983",43
1,Canada,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Total,Total,"78,257.35",0.5,0.0,"1,363",44
1,Canada,M05BA,Bisphosphonates,Total,Total,"78,241.30",0.5,3.4,"437,567",45
1,Canada,L02BX,Other hormone antagonists and related agents,Total,Total,"76,164.49",0.5,0.0,"4,701",46
1,Canada,H01CB,Somatostatin and analogues,Total,Total,"75,449.50",0.5,0.0,"4,885",47
1,Canada,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",Total,Total,"74,129.76",0.5,0.3,"35,337",48
1,Canada,L02BB,Antiandrogens,Total,Total,"73,557.06",0.5,0.1,"16,053",49
1,Canada,G04CA,Alpha-adrenoreceptor antagonists,Total,Total,"71,622.76",0.5,5.6,"704,418",50
1,Canada,A10BA,Biguanides,Total,Total,"68,794.24",0.5,9.2,"1,172,343",51
1,Canada,B01AB,Heparin group,Total,Total,"65,103.05",0.4,0.5,"58,603",52
1,Canada,S01EE,Prostaglandin analogues,Total,Total,"62,244.46",0.4,2.4,"306,864",53
1,Canada,L04AD,Calcineurin inhibitors,Total,Total,"62,210.87",0.4,0.2,"19,512",54
1,Canada,A11CC,Vitamin D and analogues,Total,Total,"59,802.50",0.4,6.0,"758,038",55
1,Canada,C10AX,Other lipid-modifying agents,Total,Total,"59,102.89",0.4,2.1,"268,488",56
1,Canada,L01EJ,Janus-associated kinase (JAK) inhibitors,Total,Total,"58,552.26",0.4,0.0,"1,134",57
1,Canada,N05BA,Benzodiazepine derivatives,Total,Total,"57,547.76",0.4,7.7,"971,247",58
